| ID |   Usuário   |       Data Inicial       |        Data Final        |
|----|-------------|--------------------------|--------------------------|
|  1 | user_298    | 2022-11-12 08:36:21      | 2022-12-05 15:42:30      |
|  2 | user_137    | 2023-09-04 17:58:49      | 2023-09-29 09:27:04      |
|  3 | user_482    | 2021-07-30 10:22:16      | 2021-08-19 12:08:37      |
|  4 | user_219    | 2020-06-25 22:49:08      | 2020-07-17 03:51:56      |
|  5 | user_404    | 2023-01-15 04:27:33      | 2023-02-09 14:20:22      |
|  6 | user_055    | 2021-04-19 13:06:11      | 2021-05-16 01:23:47      |
|  7 | user_381    | 2023-12-25 18:14:29      | 2024-01-22 11:35:57      |
|  8 | user_163    | 2022-02-09 06:57:44      | 2022-03-03 12:45:50      |
|  9 | user_278    | 2023-10-28 21:39:06      | 2023-11-24 10:52:25      |
| 10 | user_099    | 2020-12-01 09:32:58      | 2020-12-23 08:05:39      |
| 11 | user_156    | 2022-05-18 16:40:27      | 2022-06-14 18:35:08      |
| 12 | user_371    | 2020-09-24 03:14:51      | 2020-10-15 02:41:13      |
| 13 | user_432    | 2021-11-11 11:57:36      | 2021-12-05 16:09:14      |
| 14 | user_495    | 2024-01-03 22:08:03      | 2024-01-27 10:04:51      |
| 15 | user_051    | 2020-04-07 09:03:44      | 2020-05-02 12:55:02      |
| 16 | user_227    | 2023-03-29 20:46:20      | 2023-04-21 19:41:28      |
| 17 | user_321    | 2022-07-16 15:27:29      | 2022-08-06 13:38:16      |
| 18 | user_477    | 2021-02-22 14:10:55      | 2021-03-19 21:03:11      |
| 19 | user_100    | 2022-09-10 05:52:23      | 2022-10-06 20:44:30      |
| 20 | user_269    | 2024-04-05 07:39:48      | 2024-04-28 11:15:20      |
| 21 | user_150    | 2023-06-23 19:11:37      | 2023-07-19 08:44:57      |
| 22 | user_481    | 2021-08-27 12:02:56      | 2021-09-17 10:34:49      |
| 23 | user_382    | 2022-12-09 22:28:40      | 2023-01-03 06:47:51      |
| 24 | user_027    | 2020-07-12 23:31:05      | 2020-08-07 02:57:14      |
| 25 | user_309    | 2024-02-21 05:08:34      | 2024-03-14 20:44:28      |
| 26 | user_043    | 2023-01-31 14:19:03      | 2023-02-24 20:58:41      |
| 27 | user_214    | 2020-10-17 18:52:28      | 2020-11-05 19:11:20      |
| 28 | user_097    | 2023-12-02 06:11:44      | 2023-12-27 20:05:50      |
| 29 | user_391    | 2022-02-26 03:39:39      | 2022-03-18 17:12:29      |
| 30 | user_190    | 2020-05-29 12:24:17      | 2020-06-24 04:31:13      |
| 31 | user_320    | 2024-04-02 09:04:23      | 2024-04-28 14:57:14      |
| 32 | user_389    | 2023-09-18 20:57:55      | 2023-10-11 09:46:19      |
| 33 | user_405    | 2021-12-23 03:16:45      | 2022-01-18 18:59:53      |
| 34 | user_124    | 2020-09-08 06:38:31      | 2020-10-02 20:00:52      |
| 35 | user_293    | 2023-05-12 14:54:11      | 2023-06-09 22:25:10      |
| 36 | user_489    | 2022-04-26 19:20:57      | 2022-05-19 19:03:28      |
| 37 | user_073    | 2020-12-19 20:15:28      | 2021-01-14 15:41:59      |
| 38 | user_292    | 2023-04-11 00:38:09      | 2023-05-05 04:00:25      |
| 39 | user_126    | 2022-08-04 09:41:33      | 2022-08-28 15:20:11      |
| 40 | user_150    | 2021-02-09 21:11:38      | 2021-03-05 19:23:49      |
| 41 | user_285    | 2024-03-23 06:13:40      | 2024-04-16 20:50:25      |
| 42 | user_056    | 2023-07-31 18:39:04      | 2023-08-26 11:20:03      |
| 43 | user_456    | 2022-11-21 15:22:28      | 2022-12-18 17:27:44      |
| 44 | user_350    | 2020-04-26 01:40:47      | 2020-05-20 14:48:29      |
| 45 | user_212    | 2022-01-07 05:47:35      | 2022-02-01 10:37:38      |
| 46 | user_054    | 2020-06-01 17:59:29      | 2020-06-25 09:42:20      |
| 47 | user_485    | 2023-10-09 00:42:38      | 2023-11-04 20:55:53      |
| 48 | user_364    | 2021-05-24 08:07:55      | 2021-06-21 04:01:42      |
| 49 | user_009    | 2024-02-10 12:22:38      | 2024-03-03 21:58:48      |
| 50 | user_261    | 2023-01-06 05:29:45      | 2023-02-01 19:56:13      |
